id,home_team,away_team
16ecyve,northwestern,utep
16ecyww,syracuse,westernmichigan
16ecyxx,umass,miamioh
16ecyzj,utsa,texasstate
16ecz13,navy,wagner
16ecz2g,northernillinois,southernillinois
16ecz3h,toledo,texassouthern
16ecz4t,northdakotastate,maine
16ecz62,michigan,unlv
16edpbx,arkansas,kentstate
16edpdf,ecu,marshall
16edpen,sanjosestate,calpoly
16edpfk,wyoming,portlandstate
16edph2,bethunecookman,savannahstate-sheet2-row15-col12
16edpik,northdakota,northernarizona
16edpju,northerncolorado,incarnateword
16edpla,sandiego,coloradomesa-sheet2-row14-col04
16edpm8,merrimack,lehigh
16edpnf,westernillinois,illinoisstate
16ef5qm,washington,tulsa
16ef5rx,tennessee,austinpeay
16ef5t5,northerniowa,weberstate
16ef5ue,southalabama,southeasternlouisiana
16efirg,northcarolina,appalachianstate
16efw5h,easttennesseestate,carsonnewman-sheet2-row16-col02
16egmpb,oklahoma,smu
16egmqn,liberty,newmexicostate
16egmrq,duke,lafayette
16egmsf,westvirginia,duquesne
16egmtk,georgiasouthern,uab
16egmuu,fau,ohio
16egmw3,olddominion,louisiana
16egmyu,buffalo,fordham
16egn06,hampton,norfolkstate
16egn0p,hampton,norfolkstate
16egn1r,bryant,liu
16egn2q,robertmorris,stfrancis
16egn40,alabamastate,milescollege-sheet2-row15-col10
16egn5c,gardnerwebb,elon
16egn6e,indianawesleyan-sheet4-row08-col02,valparaiso
16egn7c,towson,monmouth
16egn8o,chattanooga,kennesawstate
16egn9t,villanova,colgate
16egnbj,williammary,wofford
16eheiq,fiu,northtexas
16ehek1,pittsburgh,cincinnati
16ei5hq,alabama,texas
16ei5j7,texastech,oregon
16ei5kb,coastalcarolina,jacksonvillestate
16ei5lh,georgiastate,connecticut
16ei5mt,louisianatech,northwesternstate
16ei5o7,missouri,middletennessee
16ei5pf,wku,houstonbaptist
16ei5qt,boisestate,ucf
16ei5s1,rice,houston
16ei5tf,usf,floridaam
16ei5uc,arkansasstate,memphis
16ei5vg,nevada,idaho
16ei5wr,howard,morehouse-sheet2-row15-col11
16ei5y6,northcarolinaat,nccu
16ei5zf,alabamaam,lane-sheet2-row15-col09
16ei616,stephenfaustin,alcornstate
16ei629,uapb,tennesseestate
16ei63e,southern,jacksonstate
16ei64q,prairieviewam,abilenechristian
16ei65p,centralarkansas,texascollege-sheet4-row10-col07
16ei66r,tarletonstate,northalabama
16ei67p,southdakotastate,montanastate
16ei68v,utmartin,missouristate
16ei69t,southeastmissouri,lindenwood
16ei6b1,drake,northwesternia-sheet4-row04-col11
16ei6c5,mercer,moreheadstate
